,inactive,active,accuracy,macro avg,weighted avg
precision,0.8255813953488372,0.9149425287356322,0.8896210873146623,0.8702619620422347,0.8885905635359017
recall,0.7932960893854749,0.9299065420560748,0.8896210873146623,0.8616013157207749,0.8896210873146623
f1-score,0.8091168091168092,0.9223638470451911,0.8896210873146623,0.8657403280810001,0.8889680978043669
support,179.0,428.0,0.8896210873146623,607.0,607.0
