,inactive,active,accuracy,macro avg,weighted avg
precision,0.8766233766233766,0.9028697571743929,0.8962108731466227,0.8897465668988848,0.8951298854797768
recall,0.7541899441340782,0.955607476635514,0.8962108731466227,0.8548987103847961,0.8962108731466227
f1-score,0.8108108108108109,0.9284903518728718,0.8962108731466227,0.8696505813418414,0.8937874888578653
support,179.0,428.0,0.8962108731466227,607.0,607.0
