,0
FP_932,0.20648849786405252
FP_674,0.07623827983740064
FP_457,0.02338605236244191
FP_339,0.012869124364108912
FP_789,0.01215499090306426
FP_2033,0.011315573140883335
FP_1143,0.009344578472381303
FP_1557,0.008221765795785011
FP_1273,0.007245817413591078
FP_1332,0.006612390826365844
FP_984,0.006127200382840317
FP_790,0.00577266129155013
FP_758,0.005478411188567839
FP_967,0.004791148565760242
FP_615,0.004490298131817282
FP_901,0.0043960510200956315
FP_1220,0.00435642701999214
FP_1142,0.004331715242636976
FP_1917,0.004302063497486982
FP_715,0.004147512237829196
FP_1199,0.004023434916501697
FP_1435,0.0038729392215072055
FP_1962,0.003783444079564828
FP_1321,0.0035054944063190115
FP_1155,0.003431632445430272
FP_1793,0.003389883931840307
FP_1602,0.003388555196723571
FP_5,0.0033774512086260687
FP_1607,0.0033690304045649938
FP_1057,0.003302210754006529
FP_1831,0.0032964073781985167
FP_461,0.0032929044118008644
FP_286,0.00328745152113686
FP_223,0.0032817007103675853
FP_875,0.0031014315105365358
FP_670,0.003099425301415968
FP_1026,0.003092906001520314
FP_1322,0.003052004848866624
FP_650,0.003004404878077102
FP_1054,0.0029700265763337526
FP_1088,0.002946233627297274
FP_222,0.002928914956790124
FP_1855,0.0028942364313404635
FP_1603,0.002893903569055678
FP_1665,0.0028328622974237044
FP_352,0.002735840206789393
FP_80,0.002731490584220636
FP_1070,0.0026680866239191525
FP_1513,0.0026617319943276706
FP_1992,0.002642713008976863
